Start Location,Start Geofence,End Location,End Geofence,Distance,Registration
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Mikocheni Warehouse,"Tandale, Kinondoni, Dar es Salaam, Tanzania",,5.54,DFP8546
"Tandale, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Mikocheni Wareh,5.41,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Mikocheni Warehouse,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",,20.08,DFP8546
"Mbezi, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Mikocheni Wareh,18.1,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Mikocheni Warehouse,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Mikocheni Wareh,0.0,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Mikocheni Warehouse,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Mikocheni Wareh,0.0,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Mikocheni Warehouse,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Mikocheni Wareh,0.0,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Mikocheni Warehouse,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Mikocheni Wareh,0.0,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",,18.23,DFP8546
"Mbezi, Kinondoni, Dar es Salaam, Tanzania",,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",,0.0,DFP8546
"Mbezi, Kinondoni, Dar es Salaam, Tanzania",,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",,0.43,DFP8546
"Mbezi, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Mikocheni Wareh,17.92,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Mikocheni Warehouse,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Mikocheni Wareh,0.0,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Mikocheni Warehouse,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",,19.34,DFP8546
"Mbezi, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Mikocheni Wareh,18.16,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Mikocheni Warehouse,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Mikocheni Wareh,0.0,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Mikocheni Warehouse,"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,6.56,DFP8546
"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,0.04,DFP8546
"Msasani, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Mikocheni Wareh,5.19,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Mikocheni Warehouse,"Livingstone Street, Gerezani, Ilala, Dar es Salaam, Tanzania",,11.12,DFP8546
