,Start Time,Start Location,End Time,End Location,Registration,Start Geofence,End Geofence,Trip Distance
0,2023-12-10 16:15:39,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",2023-12-10 17:03:15,"Goba, Kinondoni, Dar es Salaam, Tanzania",T452EBA,Out of Route,Out of Route,7.2
1,2023-11-28 09:35:54,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",2023-11-28 09:54:08,"Lumumba, Sabasaba, Morogoro Urban, Morogoro, Tanzania",T863DQM,Out of Route,Out of Route,3.0
2,2023-12-11 20:26:20,"Msasani, Kinondoni, Dar es Salaam, Tanzania",2023-12-11 21:23:53,"Kawe, Kinondoni, Dar es Salaam, Tanzania",T980DMT,Out of Route,Out of Route,0.0
3,2024-01-04 09:24:11,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",2024-01-04 09:31:29,"Mji mpya, Morogoro Urban, Morogoro, Tanzania",T934DMX,Out of Route,Out of Route,0.0
4,2024-01-29 22:55:47,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",2024-01-29 22:56:43,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T852DZQ,Out of Route,Out of Route,2.6
5,2023-10-28 15:43:36,"Shaabani Robert Street, Kivukoni, Ilala, Dar es Salaam, Tanzania",2023-10-28 16:18:35,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",DFP8546,Out of Route,Out of Route,444.4
6,2023-11-29 09:50:01,"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",2023-11-29 09:53:47,"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,Out of Route,Out of Route,9.8
7,2023-10-13 17:24:55,"Ugweno Street, Tandika, Temeke, Dar es Salaam, Tanzania",2023-10-13 18:37:19,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,Out of Route,Out of Route,3.5
8,2023-12-14 16:30:53,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2023-12-14 16:45:45,"Ufukoni Road, Kivukoni, Ilala, Dar es Salaam, Tanzania",T248EBJ,Out of Route,Out of Route,3.2
9,2023-11-25 07:58:10,"Makangarawe, Temeke, Dar es Salaam, Tanzania",2023-11-25 08:17:15,"Charambe, Temeke, Dar es Salaam, Tanzania",T258DXJ,D&J,Shomi,9.9
10,2023-12-04 16:33:15,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2023-12-04 16:42:21,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T452EBA,Sanku : Dodoma,Out of Route,8.3
