,Unnamed: 0,Start Location,End Time,End Location,Registration,Start Geofence,End Geofence,Trip Distance,Position Description
0,0,Makaburi,2023-12-10 17:03:15,"Goba, Kinondoni, Dar es Salaam, Tanzania",T452EBA,Out of Route,Out of Route,7.2,Kimweri
1,1,Mwembesongo,2023-11-28 09:54:08,"Lumumba, Sabasaba, Morogoro Urban, Morogoro, Tanzania",T863DQM,Out of Route,Out of Route,3.0,Msasani
2,2,Msasani,2023-12-11 21:23:53,"Kawe, Kinondoni, Dar es Salaam, Tanzania",T980DMT,Out of Route,Out of Route,0.0,Msasani
3,3,Mwembesongo,2024-01-04 09:31:29,Mji mpya,T934DMX,Out of Route,Out of Route,0.0,Kimweri
4,4,Mwembesongo,2024-01-29 22:56:43,Mwembesongo,T852DZQ,Out of Route,Out of Route,2.6,Kimweri
5,5,Shaabani,2023-10-28 16:18:35,Mikocheni,DFP8546,Out of Route,Out of Route,444.4,Kimweri
6,6,Chole Road,2023-11-29 09:53:47,Chole Road,T261DXJ,Out of Route,Out of Route,9.8,Kimweri
7,7,Ugweno Street,2023-10-13 18:37:19,Mikocheni,T240EBJ,Out of Route,Out of Route,3.5,Msasani
8,8,Mikocheni,2023-12-14 16:45:45,"Ufukoni Road, Kivukoni, Ilala, Dar es Salaam, Tanzania",T248EBJ,Out of Route,Out of Route,3.2,Msasani
9,9,Makangarawe,2023-11-25 08:17:15,"Charambe, Temeke, Dar es Salaam, Tanzania",T258DXJ,D&J,Shomi,9.9,Msasani
10,10,Mikocheni,2023-12-04 16:42:21,Mikocheni,T452EBA,Sanku : Dodoma,Out of Route,8.3,Msasani
11,11,Makaburi,2023-12-18 17:01:16,"Segerea, Ilala, Dar es Salaam, Tanzania",T258DXJ,Out of Route,Out of Route,0.0,Msasani
12,12,Mwembesongo,2023-10-06 13:10:44,"Mlali, Mvomero, Morogoro, Tanzania",T852DZQ,Out of Route,Out of Route,0.0,Msasani
13,13,"A7, Kingolwira",2023-10-21 18:22:06,Kingolwira,T853DZQ,Out of Route,Out of Route,1.8,Msasani
14,14,"A7, Kingolwira",2024-01-30 14:41:02,"A7, Kingolwira",T852DZQ,Out of Route,Sanku : Morogoro,0.0,Msasani
15,15,Makaburi,2023-10-05 15:27:49,Makaburi,T250EBJ,Sanku : Dodoma,Genevieve,2.6,Msasani
16,16,Uwanja wa ndege,2023-11-20 09:51:52,Mwembesongo,T863DQM,Out of Route,Out of Route,0.2,Msasani
17,17,Mikocheni,2024-01-09 17:08:50,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,Morieno,Out of Route,8.9,Msasani
18,18,Manzese,2024-01-16 15:11:46,Mikocheni,T261DXJ,Out of Route,Out of Route,0.5,Msasani
19,19,Mwembesongo,2023-10-24 14:14:48,Mji mpya,T853DZQ,Kipipa Millers,Kipipa Millers,0.0,Msasani
20,20,Kingolwira,2023-10-03 09:59:54,Kingolwira,T852DZQ,Out of Route,Sanku : Morogoro,3.9,Msasani
21,21,Kilwa Road,2024-01-17 19:44:44,Mikocheni,T240EBJ,Out of Route,Out of Route,3.4,Msasani
22,22,Mwananyamala,2023-12-08 19:17:37,"Somanga Street, Magomeni, Kinondoni, Dar es Salaam, Tanzania",T452EBA,Out of Route,Out of Route,6.1,Msasani
23,23,Mikocheni,2024-01-09 12:07:32,Mikocheni,T196DQG,Out of Route,KB Nunge,0.1,Old Bagamoyo
24,24,Mikocheni,2023-12-30 18:00:05,Mikocheni,T196DQG,Mbuji,Mbuji,0.0,Old Bagamoyo
25,25,Morogoro Road,2023-12-20 19:54:16,"Morogoro Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania",T248EBJ,Out of Route,Out of Route,13.4,Old Bagamoyo
26,26,Chole Road,2023-10-11 13:26:30,Mikocheni,DFP8546,Out of Route,Sanku : Mikocheni,4.7,Old Bagamoyo
27,27,Kichangani,2024-01-12 15:13:08,Kingolwira,T934DMX,Out of Route,Out of Route,0.0,Old Bagamoyo
28,28,Kingolwira,2023-10-26 08:53:54,Mwembesongo,T862DQM,Out of Route,Out of Route,7.6,Old Bagamoyo
29,29,Livingstone Street,2023-10-24 10:30:15,"Shaurimoyo, Mchikichini, Ilala, Dar es Salaam, Tanzania",DFP8546,Out of Route,Sanku : Mikocheni,4.0,Old Bagamoyo
30,30,Mikocheni,2024-01-25 19:00:25,Mikocheni,T250EBJ,Sanku : Dodoma,Sanku : Dodoma,0.0,Old Bagamoyo
31,31,Mwembesongo,2023-10-05 10:48:52,Mwembesongo,T453EAJ,Sanku : Dodoma,Out of Route,12.5,Mikocheni
32,32,Mikocheni,2023-11-27 17:16:32,Mikocheni,T261DXJ,SFAKS ENTERPRISES,Halelwa,3.9,Mikocheni
33,33,Mji mpya,2023-12-06 14:20:37,Mwembesongo,T863DQM,Out of Route,Out of Route,5.2,Mikocheni
34,34,Old Bagamoyo Road,2023-11-27 20:30:23,Old Bagamoyo Road,T261DXJ,Out of Route,Tamiwai Investment co.,3.6,Mikocheni
35,35,,,,T934DMX,Out of Route,Out of Route,0.0,Mikocheni
36,36,"Madaraka, Mji mkuu, Morogoro Urban, Morogoro, Tanzania",2023-11-28 15:06:17,"Sultan Area, Morogoro Urban, Morogoro, Tanzania",T863DQM,Out of Route,Out of Route,6.4,Mikocheni
37,37,Mji mpya,2024-01-23 08:08:30,Mwembesongo,T141DKS,Out of Route,Out of Route,5.5,Mikocheni
38,38,Mikocheni,2023-11-21 13:49:31,Manzese,DFP8546,Out of Route,Out of Route,6.5,Mikocheni
39,39,Chole Road,2023-11-21 11:31:02,Mikocheni,DFP8546,Out of Route,Sanku : Mikocheni,10.4,Mikocheni
40,40,Manzese,2023-11-25 17:24:02,"Kinyerezi, Ilala, Dar es Salaam, Tanzania",T934DMX,Out of Route,Out of Route,17.6,Mikocheni
41,41,Kunduchi,2023-12-07 13:04:40,"Goba, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,Out of Route,Out of Route,12.8,Mikocheni
42,42,"Madaraka, Mji mkuu, Morogoro Urban, Morogoro, Tanzania",2023-10-13 20:30:23,Kichangani,T853DZQ,Sanku : Mwanza,Sanku : Mwanza,0.0,Mikocheni
43,43,Muhonda Street,2024-01-16 14:44:10,Mikocheni,T240EBJ,Out of Route,Out of Route,0.0,Mikocheni
44,44,Mikocheni,2023-10-16 08:52:32,Chole Road,DFP8546,Out of Route,Out of Route,0.8,Mikocheni
